joueur,nationalite,position,equipe,age,annee_naissance,matchs,titularisations,minutes,minutes_90,buts,passes_decisives,buts_passes_decisives,buts_hors_penaltys,penaltys_marques,penaltys_tentes,cartons_jaunes,cartons_rouges,xg,npxg,xa,npxg_xa,progressions_balle,passes_progressives,passes_progressives_recues,buts_90,passes_decisives_90,buts_passes_decisives_90,buts_hors_penaltys_90,buts_passes_decisives_penaltys_90,xg_90,xa_90,xg_xa_90,npxg_90,npxg_xa_90
Fellipe Jack,BRA,DF,Como,19.0,2006,7.0,1.0,171.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03
Ali Jasim,IRQ,"AT,DF",Como,21.0,2004,2.0,0.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gaby Jean,FRA,DF,Lecce,25.0,2000,18.0,15.0,1378.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,8.0,42.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01
Juan Jesus,BRA,DF,Napoli,33.0,1991,13.0,10.0,913.0,10.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.2,3.0,48.0,2.0,0.0,0.1,0.1,0.0,0.1,0.02,0.0,0.02,0.02,0.02
Alejandro Jiménez,ESP,"DF,AT",Milan,19.0,2005,15.0,8.0,823.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.5,0.5,0.9,1.4,44.0,31.0,60.0,0.0,0.0,0.0,0.0,0.0,0.06,0.1,0.16,0.06,0.16
Þórir Jóhann Helgason,ISL,MT,Lecce,24.0,2000,13.0,9.0,766.0,8.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.9,1.7,18.0,29.0,37.0,0.0,0.23,0.23,0.0,0.23,0.1,0.1,0.2,0.1,0.2
Jesse Joronen,FIN,GB,Venezia,32.0,1993,8.0,7.0,703.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luka Jović,SRB,"AT,MT",Milan,27.0,1997,8.0,1.0,139.0,1.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.3,1.3,0.2,1.5,2.0,7.0,11.0,0.65,0.0,0.65,0.65,0.65,0.85,0.11,0.96,0.85,0.96
Mohamed Kaba,FRA,MT,Lecce,23.0,2001,11.0,0.0,254.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.3,2.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.11,0.01,0.12,0.11,0.12
Christian Kabasele,BEL,DF,Udinese,34.0,1991,13.0,9.0,916.0,10.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.2,1.0,9.0,40.0,7.0,0.1,0.0,0.1,0.1,0.1,0.08,0.02,0.1,0.08,0.1
Pierre Kalulu,FRA,DF,Juventus,24.0,2000,23.0,19.0,1828.0,20.3,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.7,0.7,0.2,0.9,33.0,81.0,9.0,0.05,0.0,0.05,0.05,0.05,0.03,0.01,0.04,0.03,0.04
Hassane Kamara,CIV,DF,Udinese,31.0,1994,23.0,18.0,1459.0,16.2,1.0,3.0,4.0,1.0,0.0,0.0,7.0,1.0,0.8,0.8,1.7,2.5,39.0,46.0,74.0,0.06,0.19,0.25,0.06,0.25,0.05,0.11,0.15,0.05,0.15
Yann Karamoh,FRA,"MT,AT",Torino,26.0,1998,24.0,10.0,923.0,10.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.2,1.2,0.9,2.1,32.0,24.0,74.0,0.0,0.1,0.1,0.0,0.1,0.12,0.09,0.21,0.12,0.21
Jesper Karlsson,SWE,AT,Bologna,26.0,1998,7.0,3.0,298.0,3.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,0.1,0.8,6.0,6.0,31.0,0.3,0.0,0.3,0.3,0.3,0.22,0.03,0.25,0.22,0.25
Jesper Karlsson,SWE,AT,Lecce,26.0,1998,10.0,3.0,323.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.4,1.1,9.0,9.0,26.0,0.0,0.0,0.0,0.0,0.0,0.17,0.12,0.29,0.17,0.29
Jesper Karlström,SWE,MT,Udinese,29.0,1995,29.0,28.0,2466.0,27.4,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.5,0.5,0.8,1.3,14.0,101.0,31.0,0.0,0.07,0.07,0.0,0.07,0.02,0.03,0.05,0.02,0.05
Lior Kasa,ISR,"MT,AT",Genoa,19.0,2005,5.0,1.0,155.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.1,0.4,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.18,0.04,0.22,0.18,0.22
Grigoris Kastanos,CYP,"MT,AT",Hellas Verona,27.0,1998,21.0,8.0,766.0,8.5,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.9,0.9,1.5,2.4,8.0,29.0,23.0,0.12,0.12,0.23,0.12,0.23,0.11,0.18,0.28,0.11,0.28
Michael Kayode,ITA,"DF,AT",Fiorentina,20.0,2004,5.0,1.0,127.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,3.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.07,0.13,0.21,0.07,0.21
Moise Kean,ITA,AT,Fiorentina,25.0,2000,27.0,26.0,2254.0,25.0,16.0,3.0,19.0,15.0,1.0,2.0,5.0,0.0,13.9,12.3,1.8,14.1,31.0,22.0,121.0,0.64,0.12,0.76,0.6,0.72,0.56,0.07,0.63,0.49,0.56
