joueur,nationalite,position,equipe,age,annee_naissance,matchs,titularisations,minutes,minutes_90,buts,passes_decisives,buts_passes_decisives,buts_hors_penaltys,penaltys_marques,penaltys_tentes,cartons_jaunes,cartons_rouges,xg,npxg,xa,npxg_xa,progressions_balle,passes_progressives,passes_progressives_recues,buts_90,passes_decisives_90,buts_passes_decisives_90,buts_hors_penaltys_90,buts_passes_decisives_penaltys_90,xg_90,xa_90,xg_xa_90,npxg_90,npxg_xa_90
Kaishu Sano,JPN,MT,Mainz 05,24.0,2000,27.0,27.0,2413.0,26.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.7,0.7,0.7,1.3,35.0,130.0,39.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05
Kauã Santos,BRA,GB,Eint Frankfurt,21.0,2003,7.0,6.0,585.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Scally,USA,DF,Gladbach,22.0,2002,25.0,25.0,2080.0,23.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,1.0,1.3,42.0,56.0,51.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06
András Schäfer,HUN,MT,Union Berlin,25.0,1999,19.0,11.0,1014.0,11.3,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.5,0.5,0.8,1.3,15.0,43.0,28.0,0.09,0.09,0.18,0.09,0.18,0.05,0.07,0.12,0.05,0.12
Patrik Schick,CZE,AT,Leverkusen,29.0,1996,24.0,14.0,1231.0,13.7,17.0,0.0,17.0,17.0,0.0,0.0,4.0,0.0,10.4,10.4,0.6,11.0,5.0,16.0,85.0,1.24,0.0,1.24,1.24,1.24,0.76,0.04,0.8,0.76,0.8
Stefan Schimmer,GER,"AT,MT",Heidenheim,30.0,1994,11.0,0.0,223.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1,1.1,0.3,1.3,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.43,0.1,0.53,0.43,0.53
Xaver Schlager,AUT,MT,RB Leipzig,27.0,1997,4.0,2.0,181.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.7,0.8,5.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.35,0.38,0.03,0.38
Keven Schlotterbeck,GER,DF,Augsburg,27.0,1997,16.0,14.0,1177.0,13.1,3.0,1.0,4.0,3.0,0.0,0.0,4.0,1.0,0.8,0.8,0.6,1.3,2.0,53.0,2.0,0.23,0.08,0.31,0.23,0.31,0.06,0.04,0.1,0.06,0.1
Nico Schlotterbeck,GER,DF,Dortmund,25.0,1999,23.0,23.0,1982.0,22.0,0.0,4.0,4.0,0.0,0.0,0.0,7.0,2.0,1.4,1.4,1.8,3.2,37.0,196.0,14.0,0.0,0.18,0.18,0.0,0.18,0.06,0.08,0.15,0.06,0.15
Romano Schmid,AUT,MT,Werder Bremen,25.0,2000,25.0,25.0,2225.0,24.7,3.0,3.0,6.0,3.0,0.0,0.0,3.0,0.0,3.0,3.0,4.7,7.7,85.0,223.0,159.0,0.12,0.12,0.24,0.12,0.24,0.12,0.19,0.31,0.12,0.31
Jan Schöppner,GER,MT,Heidenheim,25.0,1999,26.0,25.0,2155.0,23.9,3.0,2.0,5.0,3.0,0.0,0.0,6.0,0.0,3.1,3.1,3.0,6.1,30.0,84.0,37.0,0.13,0.08,0.21,0.13,0.21,0.13,0.12,0.25,0.13,0.25
Marvin Schulz,GER,"DF,MT",Holstein Kiel,30.0,1995,10.0,3.0,274.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.7,0.7,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.22,0.23,0.01,0.23
Alexander Schwolow,GER,GB,Union Berlin,32.0,1992,5.0,5.0,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Léo Scienza,BRA,"AT,MT",Heidenheim,26.0,1998,21.0,12.0,1000.0,11.1,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,1.9,1.9,3.2,5.0,61.0,27.0,78.0,0.27,0.18,0.45,0.27,0.45,0.17,0.29,0.45,0.17,0.45
Nicolas Seiwald,AUT,"MT,DF",RB Leipzig,23.0,2001,23.0,13.0,1477.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,1.0,1.1,14.0,107.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.0,0.07
Benjamin Šeško,SVN,"AT,MT",RB Leipzig,21.0,2003,26.0,24.0,1895.0,21.1,10.0,5.0,15.0,9.0,1.0,1.0,2.0,1.0,7.5,6.7,1.9,8.6,35.0,37.0,115.0,0.47,0.24,0.71,0.43,0.66,0.36,0.09,0.45,0.32,0.41
Armindo Sieb,GER,"AT,MT",Mainz 05,22.0,2003,24.0,5.0,726.0,8.1,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,2.7,2.7,1.1,3.9,25.0,17.0,57.0,0.25,0.25,0.5,0.25,0.5,0.34,0.14,0.48,0.34,0.48
Tim Siersleben,GER,DF,Heidenheim,25.0,2000,10.0,8.0,657.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,0.2,0.5,3.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.06,0.04,0.06
Kiliann Sildillia,FRA,DF,Freiburg,22.0,2002,16.0,8.0,760.0,8.4,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.4,0.4,0.5,1.0,9.0,27.0,29.0,0.24,0.0,0.24,0.24,0.24,0.05,0.06,0.11,0.05,0.11
André Silva,POR,AT,Werder Bremen,29.0,1995,6.0,4.0,369.0,4.1,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,2.6,1.0,0.3,1.3,6.0,10.0,28.0,0.24,0.0,0.24,0.0,0.0,0.63,0.08,0.71,0.24,0.32
André Silva,POR,"AT,MT",RB Leipzig,29.0,1995,8.0,0.0,132.0,1.5,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,1.3,0.5,0.6,1.1,6.0,4.0,11.0,0.68,1.36,2.05,0.0,1.36,0.9,0.38,1.28,0.36,0.74
Mohamed Simakan,FRA,DF,RB Leipzig,24.0,2000,1.0,1.0,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,3.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.46,0.0,0.46
Xavi Simons,NED,MT,RB Leipzig,21.0,2003,19.0,19.0,1631.0,18.1,7.0,4.0,11.0,7.0,0.0,0.0,4.0,0.0,3.7,3.7,5.4,9.0,59.0,106.0,134.0,0.39,0.22,0.61,0.39,0.61,0.2,0.3,0.5,0.2,0.5
Danel Sinani,LUX,"AT,MT",St. Pauli,27.0,1997,19.0,7.0,677.0,7.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,1.8,2.5,7.0,35.0,29.0,0.13,0.13,0.27,0.13,0.27,0.1,0.23,0.34,0.1,0.34
Tobias Sippel,GER,GB,Gladbach,37.0,1988,1.0,0.0,59.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibrahima Sissoko,MLI,MT,Bochum,27.0,1997,26.0,24.0,2136.0,23.7,2.0,1.0,3.0,2.0,0.0,0.0,7.0,0.0,1.3,1.3,0.9,2.2,29.0,89.0,52.0,0.08,0.04,0.13,0.08,0.13,0.05,0.04,0.09,0.05,0.09
Tim Skarke,GER,"AT,MT",Union Berlin,28.0,1996,26.0,9.0,952.0,10.6,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.1,2.1,1.2,3.3,23.0,20.0,82.0,0.0,0.19,0.19,0.0,0.19,0.19,0.11,0.31,0.19,0.31
Ellyes Skhiri,TUN,MT,Eint Frankfurt,29.0,1995,23.0,19.0,1631.0,18.1,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.8,0.8,1.2,2.0,11.0,77.0,22.0,0.0,0.11,0.11,0.0,0.11,0.04,0.06,0.11,0.04,0.11
Leo Skiri Østigård,NOR,DF,Hoffenheim,25.0,1999,6.0,6.0,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.3,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
Andreas Skov Olsen,DEN,"AT,MT",Wolfsburg,25.0,1999,8.0,3.0,352.0,3.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.5,1.9,13.0,14.0,29.0,0.0,0.26,0.26,0.0,0.26,0.1,0.4,0.49,0.1,0.49
Robert Skov,DEN,"DF,MT",Union Berlin,28.0,1996,15.0,11.0,852.0,9.5,2.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,1.7,0.9,2.4,3.3,25.0,36.0,45.0,0.21,0.21,0.42,0.11,0.32,0.18,0.25,0.43,0.1,0.35
Steven Skrzybski,GER,"AT,MT",Holstein Kiel,32.0,1992,17.0,9.0,877.0,9.7,6.0,1.0,7.0,5.0,1.0,1.0,0.0,0.0,3.2,2.4,1.2,3.6,9.0,40.0,50.0,0.62,0.1,0.72,0.51,0.62,0.33,0.12,0.45,0.24,0.36
Eric Smith,SWE,"DF,MT",St. Pauli,28.0,1997,25.0,25.0,2197.0,24.4,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.3,1.3,1.4,2.7,13.0,81.0,8.0,0.04,0.0,0.04,0.04,0.04,0.05,0.06,0.11,0.05,0.11
Anton Stach,GER,"MT,DF",Hoffenheim,26.0,1998,23.0,22.0,1964.0,21.8,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,1.3,1.3,1.1,2.4,26.0,118.0,29.0,0.05,0.05,0.09,0.05,0.09,0.06,0.05,0.11,0.06,0.11
Jens Stage,DEN,MT,Werder Bremen,28.0,1996,21.0,19.0,1630.0,18.1,7.0,5.0,12.0,7.0,0.0,0.0,7.0,0.0,5.3,5.3,2.5,7.8,20.0,77.0,68.0,0.39,0.28,0.66,0.39,0.66,0.29,0.14,0.43,0.29,0.43
Josip Stanišić,CRO,DF,Bayern Munich,24.0,2000,7.0,2.0,275.0,3.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,10.0,23.0,16.0,0.0,0.33,0.33,0.0,0.33,0.0,0.17,0.17,0.0,0.17
