joueur,nationalite,position,equipe,age,annee_naissance,matchs,titularisations,minutes,minutes_90,buts,passes_decisives,buts_passes_decisives,buts_hors_penaltys,penaltys_marques,penaltys_tentes,cartons_jaunes,cartons_rouges,xg,npxg,xa,npxg_xa,progressions_balle,passes_progressives,passes_progressives_recues,buts_90,passes_decisives_90,buts_passes_decisives_90,buts_hors_penaltys_90,buts_passes_decisives_penaltys_90,xg_90,xa_90,xg_xa_90,npxg_90,npxg_xa_90
Issiaga Sylla,GUI,DF,Montpellier,31.0,1994,16.0,14.0,1002.0,11.1,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.7,1.7,0.3,2.0,30.0,49.0,36.0,0.09,0.0,0.09,0.09,0.09,0.16,0.03,0.18,0.16,0.18
Musa Al-Taamari,JOR,"AT,MT",Montpellier,27.0,1997,15.0,12.0,1116.0,12.4,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,2.6,2.6,1.5,4.1,55.0,30.0,76.0,0.16,0.08,0.24,0.16,0.24,0.21,0.12,0.33,0.21,0.33
Musa Al-Taamari,JOR,"MT,AT",Rennes,27.0,1997,5.0,3.0,275.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.6,2.0,13.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.44,0.21,0.65,0.44,0.65
Nicolás Tagliafico,ARG,DF,Lyon,32.0,1992,18.0,17.0,1451.0,16.1,3.0,1.0,4.0,3.0,0.0,0.0,6.0,0.0,2.6,2.6,0.8,3.4,22.0,77.0,52.0,0.19,0.06,0.25,0.19,0.25,0.16,0.05,0.21,0.16,0.21
Florian Tardieu,FRA,MT,Saint-Étienne,32.0,1992,16.0,6.0,630.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.6,0.7,9.0,74.0,25.0,0.0,0.29,0.29,0.0,0.29,0.02,0.09,0.1,0.02,0.1
Oussama Targhalline,MAR,MT,Le Havre,22.0,2002,14.0,12.0,990.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.7,0.9,25.0,66.0,34.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.08,0.01,0.08
Enzo Tchato,CMR,DF,Montpellier,22.0,2002,24.0,18.0,1764.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,1.5,1.6,42.0,59.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08
Tanner Tessmann,USA,MT,Lyon,23.0,2001,18.0,9.0,862.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.1,0.5,10.0,42.0,18.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06
Teddy Teuma,MLT,MT,Reims,31.0,1993,17.0,9.0,750.0,8.3,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.4,0.6,1.1,1.7,9.0,47.0,34.0,0.12,0.0,0.12,0.0,0.0,0.17,0.13,0.3,0.07,0.21
Jordan Teze,NED,DF,Monaco,25.0,1999,12.0,5.0,377.0,4.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.2,1.2,1.0,2.2,6.0,19.0,34.0,0.24,0.0,0.24,0.24,0.24,0.28,0.23,0.52,0.28,0.52
Sorba Thomas,WAL,"AT,MT",Nantes,25.0,1999,21.0,11.0,1055.0,11.7,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,1.5,1.5,2.6,4.1,36.0,31.0,85.0,0.09,0.17,0.26,0.09,0.26,0.13,0.22,0.35,0.13,0.35
Adrien Thomasson,FRA,MT,Lens,31.0,1993,26.0,24.0,2000.0,22.2,2.0,3.0,5.0,2.0,0.0,0.0,5.0,0.0,3.5,3.5,4.6,8.1,18.0,113.0,96.0,0.09,0.14,0.23,0.09,0.23,0.16,0.21,0.37,0.16,0.37
Corentin Tolisso,FRA,MT,Lyon,30.0,1994,26.0,22.0,1957.0,21.7,6.0,2.0,8.0,6.0,0.0,0.0,3.0,0.0,4.9,4.9,4.5,9.4,18.0,132.0,113.0,0.28,0.09,0.37,0.28,0.37,0.23,0.21,0.43,0.23,0.43
