joueur,nationalite,position,equipe,age,annee_naissance,matchs,titularisations,minutes,minutes_90,buts,passes_decisives,buts_passes_decisives,buts_hors_penaltys,penaltys_marques,penaltys_tentes,cartons_jaunes,cartons_rouges,xg,npxg,xa,npxg_xa,progressions_balle,passes_progressives,passes_progressives_recues,buts_90,passes_decisives_90,buts_passes_decisives_90,buts_hors_penaltys_90,buts_passes_decisives_penaltys_90,xg_90,xa_90,xg_xa_90,npxg_90,npxg_xa_90
Pablo Garcia,ESP,AT,Betis,18.0,2006,2.0,0.0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rubén García,ESP,"AT,MT",Osasuna,31.0,1993,28.0,22.0,1827.0,20.3,2.0,4.0,6.0,2.0,0.0,0.0,2.0,0.0,1.7,1.7,2.3,4.0,26.0,86.0,120.0,0.1,0.2,0.3,0.1,0.3,0.08,0.11,0.2,0.08,0.2
Yarek Gasiorowski,ESP,DF,Valencia,20.0,2005,14.0,9.0,940.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1,1.1,0.1,1.2,9.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.01,0.12,0.11,0.12
Gavi,ESP,"MT,AT",Barcelona,20.0,2004,17.0,9.0,600.0,6.7,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,1.0,1.3,3.0,27.0,23.0,0.0,0.15,0.15,0.0,0.15,0.03,0.15,0.19,0.03,0.19
Paulo Gazzaniga,ARG,GB,Girona,33.0,1992,29.0,29.0,2565.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryan Gil,ESP,"AT,MT",Girona,24.0,2001,25.0,21.0,1721.0,19.1,3.0,3.0,6.0,3.0,0.0,0.0,4.0,0.0,2.3,2.3,2.9,5.2,76.0,74.0,210.0,0.16,0.16,0.31,0.16,0.31,0.12,0.15,0.27,0.12,0.27
Dani Gómez,ESP,AT,Valencia,26.0,1998,14.0,5.0,532.0,5.9,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.7,2.7,0.0,2.7,3.0,6.0,24.0,0.34,0.0,0.34,0.34,0.34,0.46,0.01,0.46,0.46,0.46
Moi Gómez,ESP,"MT,AT",Osasuna,30.0,1994,22.0,5.0,716.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.8,1.2,11.0,44.0,14.0,0.0,0.0,0.0,0.0,0.0,0.05,0.09,0.15,0.05,0.15
Sergi Gómez,ESP,DF,Espanyol,33.0,1992,11.0,6.0,652.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.3,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
Sergio Gómez,ESP,"MT,DF",Real Sociedad,24.0,2000,28.0,25.0,2177.0,24.2,1.0,5.0,6.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,7.2,7.9,36.0,83.0,124.0,0.04,0.21,0.25,0.04,0.25,0.03,0.3,0.33,0.03,0.33
Unai Gómez,ESP,"MT,AT",Athletic Club,21.0,2003,24.0,8.0,844.0,9.4,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.2,1.2,0.8,2.0,11.0,17.0,35.0,0.11,0.21,0.32,0.11,0.32,0.13,0.09,0.21,0.13,0.21
Fabio González,ESP,MT,Las Palmas,28.0,1997,2.0,0.0,53.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12
Peter González,DOM,"MT,AT",Getafe,22.0,2002,13.0,1.0,358.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.4,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0,0.09,0.02,0.11,0.09,0.11
Urko González,ESP,MT,Espanyol,24.0,2001,7.0,6.0,504.0,5.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,3.0,20.0,2.0,0.0,0.18,0.18,0.0,0.18,0.0,0.02,0.02,0.0,0.02
Urko González,ESP,MT,Real Sociedad,24.0,2001,1.0,1.0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andoni Gorosabel,ESP,DF,Athletic Club,28.0,1996,15.0,12.0,1040.0,11.6,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.5,1.9,15.0,41.0,38.0,0.0,0.17,0.17,0.0,0.17,0.03,0.13,0.16,0.03,0.16
José Gragera,ESP,MT,Espanyol,24.0,2000,10.0,7.0,569.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
Dominik Greif,SVK,GB,Mallorca,27.0,1997,24.0,24.0,2160.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antoine Griezmann,FRA,"AT,MT",Atlético Madrid,34.0,1991,29.0,25.0,2109.0,23.4,8.0,5.0,13.0,7.0,1.0,2.0,2.0,0.0,6.2,4.6,5.4,10.1,41.0,121.0,145.0,0.34,0.21,0.55,0.3,0.51,0.26,0.23,0.5,0.2,0.43
Florian Grillitsch,AUT,MT,Valladolid,29.0,1995,7.0,4.0,335.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.6,0.7,5.0,29.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.16,0.18,0.02,0.18
Vicente Guaita,ESP,GB,Celta Vigo,38.0,1987,24.0,24.0,2160.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sergi Guardiola,ESP,AT,Rayo Vallecano,33.0,1991,12.0,1.0,313.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.4,2.4,0.1,2.5,1.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.68,0.03,0.72,0.68,0.72
Nemanja Gudelj,SRB,"MT,DF",Sevilla,33.0,1991,23.0,22.0,1943.0,21.6,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,0.6,1.0,10.0,47.0,5.0,0.0,0.05,0.05,0.0,0.05,0.02,0.03,0.05,0.02,0.05
